iter	Passed	Remaining
635	5815	3328
636	5820	3316
637	5826	3305
638	5832	3294
639	5837	3283
640	5842	3272
641	5849	3261
642	5854	3250
643	5859	3239
644	5865	3228
645	5871	3217
646	5876	3206
647	5882	3195
648	5887	3184
649	5893	3173
650	5899	3162
651	5903	3151
652	5909	3140
653	5916	3129
654	5921	3119
655	5928	3108
656	5934	3098
657	5940	3087
658	5947	3077
659	5953	3066
660	5959	3056
661	5966	3046
662	5973	3036
663	5980	3026
664	5986	3015
665	5992	3005
666	5999	2995
667	6005	2984
668	6011	2974
669	6017	2963
670	6023	2953
671	6030	2943
672	6037	2933
673	6045	2923
674	6051	2913
675	6057	2903
676	6063	2893
677	6068	2882
678	6076	2872
679	6082	2862
680	6087	2851
681	6094	2841
682	6099	2831
683	6105	2820
684	6111	2810
685	6117	2799
686	6123	2789
687	6128	2779
688	6134	2768
689	6140	2758
690	6146	2748
691	6151	2737
692	6157	2727
693	6165	2718
694	6171	2708
695	6178	2698
696	6183	2688
697	6189	2678
698	6195	2667
699	6200	2657
700	6206	2647
701	6212	2637
702	6218	2626
703	6223	2616
704	6228	2606
705	6233	2596
706	6240	2586
707	6245	2575
708	6250	2565
709	6256	2555
710	6262	2545
711	6268	2535
712	6274	2525
713	6279	2515
714	6285	2505
715	6291	2495
716	6296	2485
717	6303	2475
718	6308	2465
719	6313	2455
720	6319	2445
721	6324	2435
722	6329	2425
723	6336	2415
724	6341	2405
725	6346	2395
726	6353	2385
727	6358	2375
728	6363	2365
729	6370	2356
730	6376	2346
731	6382	2336
732	6387	2326
733	6393	2316
734	6399	2307
735	6404	2297
736	6409	2287
737	6415	2277
738	6420	2267
739	6425	2257
740	6431	2248
741	6437	2238
742	6441	2228
743	6447	2218
744	6453	2208
745	6458	2198
746	6464	2189
747	6470	2179
748	6475	2169
749	6481	2160
750	6487	2150
751	6492	2141
752	6498	2131
753	6503	2121
754	6508	2111
755	6514	2102
756	6519	2092
757	6523	2082
758	6530	2073
759	6534	2063
760	6540	2053
761	6545	2044
762	6550	2034
763	6555	2025
764	6561	2015
765	6565	2005
766	6570	1996
767	6578	1987
768	6584	1977
769	6589	1968
770	6596	1959
771	6601	1949
772	6607	1940
773	6613	1931
774	6618	1921
775	6624	1912
776	6629	1902
777	6635	1893
778	6640	1883
779	6646	1874
780	6651	1865
781	6657	1855
782	6662	1846
783	6667	1837
784	6673	1827
785	6678	1818
786	6684	1809
787	6689	1799
788	6695	1790
789	6701	1781
790	6707	1772
791	6712	1762
792	6717	1753
793	6723	1744
794	6728	1735
795	6733	1725
796	6739	1716
797	6745	1707
798	6750	1698
799	6756	1689
800	6761	1679
801	6766	1670
802	6772	1661
803	6778	1652
804	6783	1643
805	6789	1634
806	6795	1625
807	6800	1616
808	6806	1607
809	6812	1597
810	6817	1588
811	6822	1579
812	6827	1570
813	6833	1561
814	6839	1552
815	6844	1543
816	6849	1534
817	6856	1525
818	6862	1516
819	6869	1507
820	6875	1499
821	6882	1490
822	6888	1481
823	6894	1472
824	6901	1463
825	6907	1455
826	6913	1446
827	6920	1437
828	6925	1428
829	6932	1419
830	6938	1411
831	6944	1402
832	6951	1393
833	6957	1384
834	6963	1376
835	6970	1367
836	6976	1358
837	6984	1350
838	6990	1341
839	6996	1332
840	7003	1324
841	7009	1315
842	7015	1306
843	7021	1297
844	7027	1288
845	7033	1280
846	7039	1271
847	7044	1262
848	7050	1254
849	7056	1245
850	7061	1236
851	7068	1227
852	7073	1219
853	7080	1210
854	7086	1201
855	7091	1192
856	7098	1184
857	7104	1175
858	7110	1167
859	7115	1158
860	7120	1149
861	7126	1140
862	7132	1132
863	7138	1123
864	7144	1114
865	7149	1106
866	7155	1097
867	7161	1089
868	7167	1080
869	7172	1071
870	7179	1063
871	7184	1054
872	7190	1045
873	7196	1037
874	7201	1028
875	7207	1020
876	7213	1011
877	7219	1003
878	7225	994
879	7230	986
880	7235	977
881	7242	968
882	7248	960
883	7253	951
884	7260	943
885	7266	935
886	7273	926
887	7278	918
888	7284	909
889	7291	901
890	7296	892
891	7302	884
892	7308	875
893	7314	867
894	7320	858
895	7326	850
896	7332	841
897	7339	833
898	7344	825
899	7349	816
900	7356	808
901	7361	799
902	7367	791
903	7373	783
904	7379	774
905	7384	766
906	7390	757
907	7395	749
908	7400	740
909	7407	732
910	7413	724
911	7419	715
912	7424	707
913	7429	699
914	7435	690
915	7441	682
916	7445	673
917	7451	665
918	7457	657
919	7462	648
920	7468	640
921	7474	632
922	7479	623
923	7485	615
924	7491	607
925	7496	599
926	7501	590
927	7507	582
928	7512	574
929	7518	565
930	7524	557
931	7529	549
932	7535	541
933	7541	532
934	7546	524
935	7552	516
936	7557	508
937	7562	499
938	7569	491
939	7574	483
940	7580	475
941	7586	467
942	7591	458
943	7597	450
944	7603	442
945	7608	434
946	7614	426
947	7619	417
948	7624	409
949	7631	401
950	7637	393
951	7642	385
952	7648	377
953	7654	369
954	7659	360
955	7666	352
956	7671	344
957	7677	336
958	7682	328
959	7687	320
960	7693	312
961	7699	304
962	7704	296
963	7710	287
964	7716	279
965	7721	271
966	7727	263
967	7733	255
968	7738	247
969	7744	239
970	7750	231
971	7755	223
972	7760	215
973	7766	207
974	7771	199
975	7778	191
976	7783	183
977	7788	175
978	7794	167
979	7799	159
980	7805	151
981	7810	143
982	7816	135
983	7821	127
984	7827	119
985	7833	111
986	7840	103
987	7845	95
988	7852	87
989	7859	79
990	7864	71
991	7870	63
992	7877	55
993	7883	47
994	7890	39
995	7895	31
996	7901	23
997	7908	15
998	7914	7
999	7921	0
