iter	RMSE
158	2820.201991
159	2819.697718
160	2819.005602
161	2818.666076
162	2818.463943
163	2817.961008
164	2817.78732
165	2817.265229
166	2816.810226
167	2816.455162
168	2815.907939
169	2815.622926
170	2815.306008
171	2814.900762
172	2814.666157
173	2814.537083
174	2814.146853
175	2813.895992
176	2813.666596
177	2812.95696
178	2812.708394
179	2812.318721
180	2811.876002
181	2811.590956
182	2811.265703
183	2811.119715
184	2810.779818
185	2810.292919
186	2809.872519
187	2808.829885
188	2808.164138
189	2807.835406
190	2807.603112
191	2807.416525
192	2806.419811
193	2805.868594
194	2805.741714
195	2805.378652
196	2804.725065
197	2804.268999
198	2803.996345
199	2803.755675
200	2803.31955
201	2802.905424
202	2802.487516
203	2801.988078
204	2801.615389
205	2801.134505
206	2800.330803
207	2799.496498
208	2798.881304
209	2798.006092
210	2797.663909
211	2797.205136
212	2797.085668
213	2796.77276
214	2796.499747
215	2795.317396
216	2794.221726
217	2793.662387
218	2793.037675
219	2792.460515
220	2792.029973
221	2791.636023
222	2790.683621
223	2790.14598
224	2789.148862
225	2788.999245
226	2788.560893
227	2788.274812
228	2787.96792
229	2787.524881
230	2786.992273
231	2786.707775
232	2786.38552
233	2784.453405
234	2784.024443
235	2783.63005
236	2783.113303
237	2782.434633
238	2781.870158
239	2781.251529
240	2780.454125
241	2780.017232
242	2779.730007
243	2779.498089
244	2779.334983
245	2778.920021
246	2778.855429
247	2778.757953
248	2778.664242
249	2777.732475
250	2777.281007
251	2777.185052
252	2776.692769
253	2776.429637
254	2776.243035
255	2775.908617
256	2775.573111
257	2774.857684
258	2774.438789
259	2774.187217
260	2773.948711
261	2773.4752
262	2773.082911
263	2772.941093
264	2772.263649
265	2771.444415
266	2771.214992
267	2770.893375
268	2770.720448
269	2770.128416
270	2769.512017
271	2769.039838
272	2768.698677
273	2768.321481
274	2767.78656
275	2767.208612
276	2766.950048
277	2766.460238
278	2765.682624
279	2765.427991
280	2765.265285
281	2764.594927
282	2764.262482
283	2763.959513
284	2763.136954
285	2762.710185
286	2762.157167
287	2761.817944
288	2761.419066
289	2761.150533
290	2760.623222
291	2760.096518
292	2759.698087
293	2759.167201
294	2758.967886
295	2758.527432
296	2758.354599
297	2758.233126
298	2757.955417
299	2757.615114
300	2756.841242
301	2756.106526
302	2755.501509
303	2755.203892
304	2754.981779
305	2754.816685
306	2753.109771
307	2752.908674
308	2752.547966
309	2751.807399
310	2751.365508
311	2751.110674
312	2751.035532
313	2750.880723
314	2750.562211
315	2750.278134
316	2750.068225
317	2749.911317
318	2749.118765
319	2749.05604
320	2748.770709
321	2748.506591
322	2748.221649
323	2747.810452
324	2747.664735
325	2746.850333
326	2746.625116
327	2746.168102
328	2745.529199
329	2745.008816
330	2744.679207
331	2744.413083
332	2744.286377
333	2743.921818
334	2743.698111
335	2743.277258
336	2742.954446
337	2742.557846
338	2741.046516
339	2740.869141
340	2740.728235
341	2740.540106
342	2740.257896
343	2740.121474
344	2739.760483
345	2739.58436
346	2739.271363
347	2739.072039
348	2738.805162
349	2738.618406
350	2738.454914
351	2738.068573
352	2738.000891
353	2737.268392
354	2736.95196
355	2736.691132
356	2736.335904
357	2736.085708
358	2735.742205
359	2735.350957
360	2734.846527
361	2734.715579
362	2734.287838
363	2733.1285
364	2732.961306
365	2732.801899
366	2732.494795
367	2731.846431
368	2731.694394
369	2731.385326
370	2731.183169
371	2729.590052
372	2729.329287
373	2728.837491
374	2728.423909
375	2727.74692
376	2727.503891
377	2727.26437
378	2726.463565
379	2726.356992
380	2726.049356
381	2725.820976
382	2725.495689
383	2725.184094
384	2724.941889
385	2724.514425
386	2723.886428
387	2723.573268
388	2723.320991
389	2722.733255
390	2722.278072
391	2721.973352
392	2721.595277
393	2721.372071
394	2720.929173
395	2720.686203
396	2720.471663
397	2720.250996
398	2719.871588
399	2719.656232
400	2719.518979
401	2719.33522
402	2718.939226
403	2718.727604
404	2718.395408
405	2717.920445
406	2717.715253
407	2717.465053
408	2716.649027
409	2716.309574
410	2715.73387
411	2715.404436
412	2714.861675
413	2714.627373
414	2714.302903
415	2714.209791
416	2713.967366
417	2713.55399
418	2712.948837
419	2712.435217
420	2711.782725
421	2711.692993
422	2711.389506
423	2711.134817
424	2710.908996
425	2710.608549
426	2709.769244
427	2709.567011
428	2709.210284
429	2708.993323
430	2708.398079
431	2708.124807
432	2707.94067
433	2707.752796
434	2707.418838
435	2706.872415
436	2706.848876
437	2706.613571
438	2706.530382
439	2705.357238
440	2704.943668
441	2704.421446
442	2704.189231
443	2703.8116
444	2703.672432
445	2703.341842
446	2703.160708
447	2702.939028
448	2702.77686
449	2702.696232
450	2702.286461
451	2701.834312
452	2701.728874
453	2701.38558
454	2701.010554
455	2700.731848
456	2700.153907
457	2699.700482
458	2698.700697
459	2698.401304
460	2698.223151
461	2697.692423
462	2697.426286
463	2697.09324
464	2696.225843
465	2694.693473
466	2694.370437
467	2694.076682
468	2693.673739
469	2693.149402
470	2692.728055
471	2692.52126
472	2691.636921
473	2691.111364
474	2690.490868
475	2690.261483
476	2690.187735
477	2689.77683
478	2689.705888
479	2689.63864
480	2688.863494
481	2688.46469
482	2688.133201
483	2687.805466
484	2687.484783
485	2687.317085
486	2687.130238
487	2686.581489
488	2686.370539
489	2686.305363
490	2685.825284
491	2685.569216
492	2685.506006
493	2685.205338
494	2684.807304
495	2683.649301
496	2683.353338
497	2682.718493
498	2682.512793
499	2682.363925
500	2682.198615
501	2681.816096
502	2681.813371
503	2681.406112
504	2681.078696
505	2680.680876
506	2680.435337
507	2679.975226
508	2679.609773
509	2679.374243
510	2679.159017
511	2679.05819
512	2678.144614
513	2677.871975
514	2677.542939
515	2677.219092
516	2676.996395
517	2676.705171
518	2676.326742
519	2676.271623
520	2675.955325
521	2675.731876
522	2675.33889
523	2674.763401
524	2674.240999
525	2674.065809
526	2673.728947
527	2673.442365
528	2673.108967
529	2672.743219
530	2672.551255
531	2672.208335
532	2671.923015
533	2671.679399
534	2671.342794
535	2671.041172
536	2670.54228
537	2670.507605
538	2670.266617
539	2670.124031
540	2669.909996
541	2669.907956
542	2669.214082
543	2668.663616
544	2668.251616
545	2667.935169
546	2667.807895
547	2667.598081
548	2667.292758
549	2667.254767
550	2667.039084
551	2666.868624
552	2666.674565
553	2666.475985
554	2666.266035
555	2665.994957
556	2665.78289
557	2665.286873
558	2665.096574
559	2664.644268
560	2664.334595
561	2664.0205
562	2663.533948
563	2663.199619
564	2663.023748
565	2662.631081
566	2662.22313
567	2661.986736
568	2661.718208
569	2661.585836
570	2661.24102
571	2660.783891
572	2660.480162
573	2660.176934
574	2659.939861
575	2659.583697
576	2659.417015
577	2659.186335
578	2658.817904
579	2658.645225
580	2658.464992
581	2658.119474
582	2657.948494
583	2657.68408
584	2657.375743
585	2656.987746
586	2656.784116
587	2656.412445
588	2656.194911
589	2655.679753
590	2655.253913
591	2654.732067
592	2654.387253
593	2653.747423
594	2653.498996
595	2653.110488
596	2652.74419
597	2652.327938
598	2652.166555
599	2651.597665
600	2651.32533
601	2651.164552
602	2650.65687
603	2650.474835
604	2650.16501
605	2650.018589
606	2649.845728
607	2649.672569
608	2649.669211
609	2649.343799
610	2648.764696
611	2648.529671
612	2648.206683
613	2648.041133
614	2647.685374
615	2647.579817
616	2647.057749
617	2646.985315
618	2646.982403
619	2646.861856
620	2646.702906
621	2646.316471
622	2645.915535
623	2645.685831
624	2644.969027
625	2644.614725
626	2644.131139
627	2643.950469
628	2643.729998
629	2643.448241
630	2643.148275
631	2642.815831
632	2642.548231
633	2642.375692
634	2642.181292
635	2641.705151
636	2641.478213
637	2641.234794
638	2640.741715
639	2640.353752
640	2640.131426
641	2639.915784
642	2639.737616
643	2639.358906
644	2639.150221
645	2638.71999
646	2638.315193
647	2637.940331
648	2637.774609
649	2637.606598
650	2637.343318
651	2637.302798
652	2637.004654
653	2636.711616
654	2636.570193
655	2636.186156
656	2635.565246
657	2635.338707
658	2635.199967
659	2635.040219
660	2634.789793
661	2634.436055
662	2634.141031
663	2633.800557
664	2633.531516
665	2633.281322
666	2632.892909
667	2632.554846
668	2632.411101
669	2631.088421
670	2630.642072
671	2628.99443
672	2628.746014
673	2628.586373
674	2628.384299
675	2628.165372
676	2627.946626
677	2627.694331
678	2626.727391
679	2626.455216
680	2626.256133
681	2625.937954
682	2625.767936
683	2625.517127
684	2625.346748
685	2625.029433
686	2624.516975
687	2624.272869
688	2624.062362
689	2623.789316
690	2623.42245
691	2622.139533
692	2622.091867
693	2621.788836
694	2621.787325
695	2621.56011
696	2621.376702
697	2621.229513
698	2620.827911
699	2620.651318
700	2620.370613
701	2620.135357
702	2619.8389
703	2619.530792
704	2619.369762
705	2618.800153
706	2618.560978
707	2618.298174
708	2618.135153
709	2617.983746
710	2617.815236
711	2617.342454
712	2616.97939
713	2616.837851
714	2616.619276
715	2616.376333
716	2616.299349
717	2616.113891
718	2615.827279
719	2615.579872
720	2615.108726
721	2614.820615
722	2614.598531
723	2614.459355
724	2614.119087
725	2613.888913
726	2613.652499
727	2613.463068
728	2613.343658
729	2613.118206
730	2612.686488
731	2612.371176
732	2612.077087
733	2611.308003
734	2611.0576
735	2610.775882
736	2610.56952
737	2610.342358
738	2610.247807
739	2609.899854
740	2609.658533
741	2608.889408
742	2608.775877
743	2608.663781
744	2608.475747
745	2608.262732
746	2607.965151
747	2607.773478
748	2607.738289
749	2607.475393
750	2607.473361
751	2607.346699
752	2607.154708
753	2606.954345
754	2606.699878
755	2606.509137
756	2606.225146
757	2606.223698
758	2605.966141
759	2605.964738
760	2605.768794
761	2605.520788
762	2605.272677
763	2604.620013
764	2604.618798
765	2604.617426
766	2604.48786
767	2604.276842
768	2604.043195
769	2603.634495
770	2603.486537
771	2602.981049
772	2602.607567
773	2602.381155
774	2602.029464
775	2601.836093
776	2601.588959
777	2601.408694
778	2601.20195
779	2600.932098
780	2600.471623
781	2600.348343
782	2600.106954
783	2599.758362
784	2599.399499
785	2599.261013
786	2599.082136
787	2598.808525
788	2598.624255
789	2598.314376
790	2598.189987
791	2598.012718
792	2597.853035
793	2597.469742
794	2597.369465
795	2597.14703
796	2596.879137
797	2596.530723
798	2596.394451
799	2596.156427
800	2595.949446
801	2595.709731
802	2595.500582
803	2595.274169
804	2595.137622
805	2594.935338
806	2594.768897
807	2594.63256
808	2594.365687
809	2594.002088
810	2593.822698
811	2593.70179
812	2593.341426
813	2593.281599
814	2593.132706
815	2592.885353
816	2592.751758
817	2592.249346
818	2591.79695
819	2591.585983
820	2591.452435
821	2591.204124
822	2591.032883
823	2590.826732
824	2590.436566
825	2590.222594
826	2589.896887
827	2589.762587
828	2589.618129
829	2589.413478
830	2589.149075
831	2588.930739
832	2588.669786
833	2588.496213
834	2588.212769
835	2587.996865
836	2587.704326
837	2587.329813
838	2587.227807
839	2587.010403
840	2586.711459
841	2586.588657
842	2586.320753
843	2586.125338
844	2586.066286
845	2585.886949
846	2585.539656
847	2585.538669
848	2585.470187
849	2585.295493
850	2585.104352
851	2584.94396
852	2584.635425
853	2584.374802
854	2584.169091
855	2583.984383
856	2583.592696
857	2583.396672
858	2583.025648
859	2582.808523
860	2582.807566
861	2582.574822
862	2582.24432
863	2581.764964
864	2581.66392
865	2581.588452
866	2580.857421
867	2580.560898
868	2580.366935
869	2580.26611
870	2580.022167
871	2579.81347
872	2579.54944
873	2579.073834
874	2578.852204
875	2578.603314
876	2578.413423
877	2578.29333
878	2578.062912
879	2577.872258
880	2577.682869
881	2577.245801
882	2576.943107
883	2576.798706
884	2576.583602
885	2576.468804
886	2576.345043
887	2576.195482
888	2576.125218
889	2575.998875
890	2575.514026
891	2575.356459
892	2574.988626
893	2573.722717
894	2573.632059
895	2573.48023
896	2573.290263
897	2573.096214
898	2572.850276
899	2572.759236
900	2572.585294
901	2572.339109
902	2572.0246
903	2571.597471
904	2571.274903
905	2571.057358
906	2570.866081
907	2570.707837
908	2570.454266
909	2570.098333
910	2570.008645
911	2569.897344
912	2569.649946
913	2569.431902
914	2569.206248
915	2569.081374
916	2568.981324
917	2568.56231
918	2568.230407
919	2567.624065
920	2567.214469
921	2567.016244
922	2566.91615
923	2566.727155
924	2566.498407
925	2566.349879
926	2566.181119
927	2566.106252
928	2565.760055
929	2565.512282
930	2565.419379
931	2565.045405
932	2564.847637
933	2564.509165
934	2564.186118
935	2564.009559
936	2563.825009
937	2563.718967
938	2563.058552
939	2562.639578
940	2562.488922
941	2562.405261
942	2562.243468
943	2562.033612
944	2561.716976
945	2561.595488
946	2561.359486
947	2561.19544
948	2561.177032
949	2561.027628
950	2560.642466
951	2560.060102
952	2559.899251
953	2559.534376
954	2559.092201
955	2558.929618
956	2558.622122
957	2558.279076
958	2558.068516
959	2557.737959
960	2557.673541
961	2557.47109
962	2556.965353
963	2556.898302
964	2556.64513
965	2556.548382
966	2556.394475
967	2556.065711
968	2555.811616
969	2555.700806
970	2555.292619
971	2555.058658
972	2554.930344
973	2554.633145
974	2554.52146
975	2554.346981
976	2553.836339
977	2553.687548
978	2553.507583
979	2553.503391
980	2553.272423
981	2553.031791
982	2552.804082
983	2552.733233
984	2552.518919
985	2552.312721
986	2552.008569
987	2552.007788
988	2551.708838
989	2551.473868
990	2551.313903
991	2551.143829
992	2550.959398
993	2550.854084
994	2550.687206
995	2550.430316
996	2550.072197
997	2549.856953
998	2549.705872
999	2549.480314
